Fecha y hora;Fecha;Hora;Hora Entera;Departamento;Localidad;Jurisdiccion ;Tipo de Siniestro;Vehiculo;Rol;Edad;Sexo;Fallecido a los Dias;Otro vehiculo;Lugar del Siniestro;X;Y
31/01/2013 11:55;31/01/2013;11:55:00;11:00;CANELONES;PARQUE DEL PLATA;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;24;M;14;CAMION;RUTA INTERBALNEARIA esq. CALLE A;616510,43;6153313,67
31/01/2013 16:10;31/01/2013;16:10:00;16:00;PAYSANDU;PAYSANDU;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;14;M;1;CAMIONETA;GRITO DE ASENCIO esq. WASHINGTON;399812,68;6424054,48
31/01/2013 19:30;31/01/2013;19:30:00;19:00;SAN JOSE;CIUDAD DEL PLATA;NACIONAL;COLISI‡N CON OBSTµCULO EN CALZADA;AUTO;CONDUCTOR;40;M;1;N/C;RUTA 1 km. 32,500;550752,2;6155500,75
02/02/2013 5:30;02/02/2013;5:30:00;5:00;TACUAREMBO;PASO DE LOS TOROS;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;18;M;0;CAMION;DIECIOCHO DE JULIO esq. PAYSANDU;546208,24;6369325,28
02/02/2013 17:50;02/02/2013;17:50:00;17:00;SAN JOSE;N/C;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;48;M;0;CAMIONETA;RUTA 11 km. 52,500;528293,44;6199814,37
04/02/2013 1:30;04/02/2013;1:30:00;1:00;MONTEVIDEO;MONTEVIDEO;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;AUTO;PASAJERO;1;M;2;CAMIONETA;RUTA 5 esq. CAMINO ALTUNA;566705,04;6151763,98
04/02/2013 7:00;04/02/2013;7:00:00;7:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;AUTO;CONDUCTOR;23;M;0;OMNIBUS;AVENIDA DON PEDRO DE MENDOZA esq. CAMINO LOS VI•EDOS;576376,4;6153670,78
04/02/2013 7:00;04/02/2013;7:00:00;7:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;AUTO;PASAJERO;49;F;0;OMNIBUS;AVENIDA DON PEDRO DE MENDOZA esq. CAMINO LOS VI•EDOS;576376,4;6153670,78
04/02/2013 9:20;04/02/2013;9:20:00;9:00;RIVERA;RIVERA;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;21;F;1;AUTO;DOCTOR ANOLLES esq. GENERAL JUAN ANTONIO LAVALLEJA;639530,2;6579979,3
05/02/2013 0:10;05/02/2013;0:10:00;0:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;18;M;0;CAMIONETA;CAMINO MALDONADO esq. AVENIDA DOCTOR JIMENEZ DE ARECHAGA;580018,98;6144057,44
05/02/2013 0:40;05/02/2013;0:40:00;0:00;CANELONES;N/C;NACIONAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;24;F;0;AUTO;RUTA INTERBALNEARIA km. 52;619259,31;6153947,93
06/02/2013 0:10;06/02/2013;0:10:00;0:00;PAYSANDU;NUEVO PAYSANDU;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;29;F;1;MOTO;VENEZUELA esq. DOCTOR ROLDAN;398655,03;6428049,64
07/02/2013 12:20;07/02/2013;12:20:00;12:00;CERRO LARGO;MELO;DEPARTAMENTAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;82;F;0;OMNIBUS;DOROTEO NAVARRETE esq. DOCTOR LUIS ALBERTO DE HERRERA;766702,66;6415035,14
07/02/2013 14:00;07/02/2013;14:00:00;14:00;MONTEVIDEO;MONTEVIDEO;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;59;M;0;CAMION;RUTA 5 esq. RUTA 102;567306,38;6148894,9
07/02/2013 19:08;07/02/2013;19:08:00;19:00;TACUAREMBO;TACUAREMBO;NACIONAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;59;M;0;CAMION;RUTA 26 esq. APOLO XI;595710,97;6488165,97
08/02/2013 6:00;08/02/2013;6:00:00;6:00;CANELONES;N/C;NACIONAL;CA÷DA;MOTO;PASAJERO;23;F;1;N/C;RUTA 7 km. 45;598966,52;6170470,76
08/02/2013 23:00;08/02/2013;23:00:00;23:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;20;M;0;AUTO;BULEVAR BATLLE Y ORDO•EZ esq. TERMOPILAS;575609,24;6142141,14
10/02/2013 6:30;10/02/2013;6:30:00;6:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;DESPISTE;AUTO;PASAJERO;24;F;0;N/C;AVENIDA LUIS BATLLE BERRES esq. CAMINO PASO DE LA ARENA;567225,56;6144659,11
10/02/2013 16:00;10/02/2013;16:00:00;16:00;FLORIDA;N/C;DEPARTAMENTAL;CA÷DA;MOTO;CONDUCTOR;49;M;1;N/C;RUTA 14 a aprox. 6 Kms 800 mts. de intersecci¢n con RUTA 6;628627,7;6298773,47
11/02/2013 7:30;11/02/2013;7:30:00;7:00;MALDONADO;MALDONADO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;AUTO;CONDUCTOR;22;M;0;CAMIONETA;AVENIDA APARICIO SARAVIA esq. SAN PABLO;690793,53;6134269,22
11/02/2013 7:30;11/02/2013;7:30:00;7:00;MALDONADO;MALDONADO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;CAMIONETA;PASAJERO;26;M;0;AUTO;AVENIDA APARICIO SARAVIA esq. SAN PABLO;690793,53;6134269,22
11/02/2013 7:30;11/02/2013;7:30:00;7:00;MALDONADO;MALDONADO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;AUTO;PASAJERO;27;M;0;CAMIONETA;AVENIDA APARICIO SARAVIA esq. SAN PABLO;690793,53;6134269,22
11/02/2013 8:50;11/02/2013;8:50:00;8:00;CANELONES;N/C;NACIONAL;CA÷DA;BICICLETA;CONDUCTOR;72;M;0;N/C;RUTA 107 km. 3,500;584742,23;6166331,22
11/02/2013 16:05;11/02/2013;16:05:00;16:00;CANELONES;LA PAZ;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;17;M;1;OMNIBUS;JOSE BATLLE Y ORDO•EZ esq. PEDRO ROSA GIFFUNI;570855,99;6152986,2
11/02/2013 17:15;11/02/2013;17:15:00;17:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;22;M;0;AUTO;AVENIDA LUIS BATLLE BERRES esq. TURUBI;568974,56;6143477,58
13/02/2013 3:40;13/02/2013;3:40:00;3:00;CERRO LARGO;RIO BRANCO;DEPARTAMENTAL;DESPISTE;MOTO;CONDUCTOR;39;M;1;N/C;AVENIDA CENTENARIO esq. PEREZ VILA;839315,83;6388070,76
14/02/2013 14:15;14/02/2013;14:15:00;14:00;FLORIDA;N/C;NACIONAL;COLISI‡N CON OBSTµCULO EN CALZADA;AUTO;CONDUCTOR;83;M;0;N/C;RUTA 5 km. 158;559171,6;6283782,9
14/02/2013 14:15;14/02/2013;14:15:00;14:00;FLORIDA;N/C;NACIONAL;COLISI‡N CON OBSTµCULO EN CALZADA;AUTO;PASAJERO;78;F;0;N/C;RUTA 5 km. 158;559171,6;6283782,9
16/02/2013 3:00;16/02/2013;3:00:00;3:00;SALTO;SALTO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;27;M;0;CAMIONETA;BRASIL esq. OSIMANI Y LERENA;408494,98;6527018,82
16/02/2013 6:35;16/02/2013;6:35:00;6:00;COLONIA;CARMELO;DEPARTAMENTAL;CA÷DA;MOTO;CONDUCTOR;18;M;1;N/C;GENERAL JOSE DE SAN MARTIN esq. URUGUAY;381226,52;6236703,09
16/02/2013 21:50;16/02/2013;21:50:00;21:00;SALTO;SAN ANTONIO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;BICICLETA;CONDUCTOR;43;M;1;MOTO;CAMINO DEPARTAMENTAL A RIVERA frente a SAN PEDRO ;429024,57;6532023,99
17/02/2013 5:10;17/02/2013;5:10:00;5:00;CANELONES;N/C;NACIONAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;16;M;0;AUTO;RUTA 12 km. 79;438399,49;6244380,42
18/02/2013 4:45;18/02/2013;4:45:00;4:00;COLONIA;CARMELO;DEPARTAMENTAL;CA÷DA;MOTO;CONDUCTOR;24;M;1;N/C;JOSE ENRIQUE RODO esq. AVENIDA DE LOS ARGENTINOS;381184;6236290,27
19/02/2013 2:45;19/02/2013;2:45:00;2:00;PAYSANDU;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;22;M;1;N/C;RUTA 26 km. 171;542666,1;6473051,89
20/02/2013 18:00;20/02/2013;18:00:00;18:00;ROCHA;N/C;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;68;M;0;N/C;RUTA 15 km. 96;747366,75;6240541,34
21/02/2013 18:00;21/02/2013;18:00:00;18:00;MALDONADO;HIPODROMO;DEPARTAMENTAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;79;M;0;AUTO;RUTA 39 km. 12;688143,27;6144226,66
24/02/2013 3:03;24/02/2013;3:03:00;3:00;CANELONES;LAS PIEDRAS;DEPARTAMENTAL;COLISI‡N CON OBSTµCULO EN CALZADA;MOTO;CONDUCTOR;28;M;1;N/C;GENERAL ARTIGAS esq. FRANCISCA ASNAR DE ARTIGAS;572988,02;6157059,92
24/02/2013 8:00;24/02/2013;8:00:00;8:00;SALTO;SALTO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;BICICLETA;CONDUCTOR;50;M;0;CAMIONETA;AVENIDA LUIS BATLLE BERRES esq. AVENIDA GARIBALDI;410519,31;6530401
24/02/2013 19:00;24/02/2013;19:00:00;19:00;SALTO;SALTO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;20;M;0;CAMION;AVENIDA PARAGUAY esq. AVENIDA E. GAUTRON;411714,88;6527931,21
25/02/2013 18:40;25/02/2013;18:40:00;18:00;PAYSANDU;PAYSANDU;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;13;M;1;CAMION;AVENIDA SORIANO esq. PROYECTADA NOVENTA Y SIETE;400561,95;6422566,71
